"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-24","0.00",",,s",,,"71",",,s","77",",,s","65",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-25","0.00",",,s",,,"75",",,s","87",",,s","67",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-26","0.09",",,s",,,"76",",,s","85",",,s","66",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-27","0.00",",,s",,,"71",",,s","80",",,s","63",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-28","0.00",",,s",,,"71",",,s","80",",,s","63",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-29","0.00",",,s",,,"73",",,s","81",",,s","67",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-30","0.02",",,s",,,"75",",,s","83",",,s","67",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-31","0.79",",,s",,,"70",",,s","75",",,s","64",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-01","0.00",",,s",,,"71",",,s","78",",,s","61",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-02","0.00",",,s",,,"74",",,s","83",",,s","67",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-03","0.02",",,s",,,"73",",,s","83",",,s","64",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-04","0.00",",,s",,,"69",",,s","79",",,s","60",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-05","0.00",",,s",,,"72",",,s","83",",,s","62",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-06","0.19",",,s",,,"69",",,s","77",",,s","62",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-07","0.10",",,s",,,"66",",,s","71",",,s","62",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-08","0.00",",,s",,,"70",",,s","78",",,s","62",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-09","0.00","T,,s",,,"72",",,s","83",",,s","65",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-10","0.00",",,s",,,"73",",,s","82",",,s","63",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-06-11","0.00",",,s",,,"75",",,s","87",",,s","66",",,s"
